instances,feature_CL,feature_CLD,feature_DCP,feature_F1,feature_Harmfulness,feature_LSC,feature_LSR,feature_N1,feature_N2,feature_TD_P,feature_TD_U,feature_Usefulness,feature_kDN,algo_bagging,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
61,0.09047509528522646,0.08484392023670129,0.016064257028112428,0.8636363636363635,0.0,0.9965156794425087,0.8926190127686193,1.0,0.5513299928974423,0.8333333333333334,0.8888888888888888,1.0,0.5,0.009387135606255415,0.0056773964579854095,0.6614960653187975,0.01848730153704165,0.010000965760197813,0.8523090465125427,0.05169475308496376
62,0.09027543235062907,0.08468365182288717,0.016064257028112428,0.8409090909090908,0.0,0.9721254355400697,0.8601432429334387,0.0,0.2952792095032005,0.8333333333333334,0.8888888888888888,0.9825783972125436,0.1,0.01067304553352431,0.0017263796027644249,0.5263520262155422,0.015875350891701792,0.0034162961361903724,0.4502888869627069,0.01598270928838066
63,0.09088072627513566,0.0852891659218552,0.016064257028112428,0.8409090909090908,0.003837719298245614,0.9965156794425087,0.9470667597155173,1.0,0.7029265364417445,0.8333333333333334,0.8888888888888888,0.9930313588850174,0.8,0.009430017680903978,0.0018874865127004171,0.563412109934072,0.016027687604149996,0.006498810155985138,1.0107884309410742,0.016164774932292954
64,0.10814424395858413,0.09834373928808093,0.0,0.8636363636363635,0.00712719298245614,0.9965156794425087,0.9810672799591227,1.0,0.807495995944145,1.0,0.6666666666666666,1.0,1.0,0.009430017680903978,0.0020325592599333307,1.044579998427315,3.2212462424083155,0.011667807863895256,1.0008147070665716,3.543675087255675
65,0.09036996974122458,0.0847602641764833,0.016064257028112428,0.8863636363636364,0.0,0.9686411149825784,0.8709762254187408,0.0,0.08819537218207385,0.8333333333333334,0.8888888888888888,0.9790940766550522,0.1,0.008018175346328897,0.004629707360494562,0.5569445465409477,0.018913345128302044,0.0031354659434800905,0.7947231104340653,0.020560289039003046
66,0.03889022854223334,0.03286160762308249,0.0035087719298245723,0.8863636363636364,0.0013063357282821686,0.9982758620689656,0.9159458263456662,1.0,0.5926226415104627,0.3333333333333333,0.3333333333333333,1.0,0.6,0.0076640081651896865,0.0038582717396937927,1.0458890165399375,0.013447100226025499,0.005400197399258003,1.0033302179994898,0.029009953397911726
67,0.03544280597954286,0.025710775775372896,0.0035087719298245723,0.8409090909090908,0.0,0.9879310344827587,0.850523649739199,0.0,0.01624840767272928,0.3333333333333333,0.3333333333333333,0.9948275862068966,0.3,0.009065171089592159,0.001797993079402658,1.0482613265057958,0.009917003294988269,0.003565266829662738,0.9380497236496748,0.02799331367299835
68,0.1023655538351369,0.09258012543486471,0.0,0.8636363636363635,0.0,0.9984567901234568,0.9151432877745662,1.0,0.5806226406150974,0.5,0.3333333333333333,1.0,0.7,0.008364085868530517,0.013940005898808436,0.6366208053508681,0.015114402361015676,0.0029139707047274722,0.7370436103343044,0.019692487601502634
69,0.10236554662600439,0.0925801182628026,0.0,0.8409090909090908,0.0,0.9814814814814815,0.838076928792475,0.0,0.3788876718030577,0.5,0.3333333333333333,0.9969135802469136,0.0,0.007301920426342251,0.005316896982085618,0.5714776523416403,0.012345674392292637,0.002650982854680569,0.5009771412820675,0.046673561476280837
70,0.5423429901738586,0.4651366617676178,0.0,0.9090909090909092,0.0005482456140350877,0.9930313588850174,0.8579999448935063,0.0,0.4498894413117487,0.8333333333333334,0.5555555555555556,1.0,0.8,0.016834424729384474,0.01231592189226488,1.1732653433710738,0.023991784688361755,0.014841740423321122,1.352377730328701,0.018677653071548863
71,0.4041731891795164,0.39360936401136326,0.0035087719298245723,0.8636363636363635,0.0,0.9879310344827587,0.8958237192296274,0.0,0.06531625745356684,0.3333333333333333,0.3333333333333333,0.9844827586206897,0.2,0.0069477640272268895,0.001131994243522396,0.9383676713680581,0.01583576563716138,0.0030738588343315683,0.7616557457661072,0.017275618166561982
72,0.10299703672834781,0.08917504773481749,0.0,0.9090909090909091,0.001087547580206634,0.9963235294117647,0.9392571804758696,0.5,0.7178649843268976,0.5,0.3333333333333333,1.0,0.9,0.008436805871674172,0.09437859827640632,0.5148058467335114,0.01883946995914211,0.0159434647746884,0.45634957109426505,2.9607085017335106
73,0.09068742171622035,0.08509584600406067,0.016064257028112428,0.8863636363636364,0.0,0.9965156794425087,0.9034917611214769,1.0,0.6373466560738936,0.8333333333333334,0.8888888888888888,1.0,0.7,0.01067304553352431,0.0017495297787224243,0.586331682815414,0.01587535088585644,0.019498300027591814,0.9866230754748855,0.06708700235223776
74,0.2792340888109187,0.20688309650048797,0.016064257028112428,0.9090909090909092,0.0010964912280701754,0.9965156794425087,0.9677062190901646,0.5,0.7822003659972917,0.8333333333333334,0.8888888888888888,0.9965156794425087,0.8,0.010873466224445058,0.0697288760026094,1.2115481240588353,0.01602768760593159,0.0071612447082524625,0.8548283014010939,0.04272538015624115
75,0.5716894024721386,0.5610519938114066,0.0035087719298245723,0.8636363636363635,0.0,0.996551724137931,0.8940982379485688,0.0,0.4678706901522214,0.3333333333333333,0.3333333333333333,1.0,0.7,0.009065171089592159,0.0017466043197912884,0.9291618767281264,0.009917041913005577,0.004229934358586414,0.7150687750268127,0.02412257897206256
76,0.09969656034635932,0.08727742998813104,0.0,0.9090909090909091,0.001087547580206634,0.9963235294117647,0.8928564415951437,0.5,0.5676532865270649,0.5,0.3333333333333333,1.0,0.7,0.007749040793032158,0.03548154835616888,0.5307268252244547,0.018668638730156176,0.011367667330391023,0.5395666676254446,0.03404818032265752
77,0.10780545014011444,0.09196327205889099,0.0,0.8863636363636364,0.002175095160413268,0.9963235294117647,0.8964020892889755,1.0,0.7022380272689914,0.5,0.3333333333333333,1.0,1.0,0.009182821063748976,0.017562637573270312,0.580363425390769,0.02311087845580306,0.09725517405190037,0.6350286733825992,2.5028889952507694
78,0.03443254964457143,0.025000903282320408,0.0035087719298245723,0.8863636363636364,0.0013063357282821686,0.9982758620689656,0.9148171036339658,1.0,0.5112385234907141,0.3333333333333333,0.3333333333333333,0.996551724137931,0.4,0.006012989789561848,0.0039354280015230034,0.9028462569750403,0.012835592307189697,0.0038775636357856955,0.7531089093558904,0.02421011126138943
79,0.10237693415087012,0.09259144728528823,0.0,0.8863636363636364,0.000683526999316473,0.9984567901234568,0.8820586676387104,0.5,0.5108984858395096,0.5,0.3333333333333333,0.9984567901234568,0.6,0.006465854470068727,0.003395450443925856,0.6768596847301389,0.015838585007200156,0.007265225191610218,0.7591885146951968,0.039966234896665245
